target,GC,Age,Length,height,weight,One day races,GC_specialty,Time trial,Sprint,Climber,PCS Ranking,UCI World Ranking,Specials | All Time Ranking,sumres_1,sumres_2,sumres_3,Stage_Type_RR
1,1.0,22.0,118.5,1.67,69.0,297.0,1.214e+03,1.221e+03,511.0,500.0,775.0,565.0,1.142e+03,500.0,123.0,33.0,1.0
1,2.0,23.0,118.5,1.84,82.0,98.0,612.0,70.0,21.0,460.0,299.0,491.0,985.0,160.0,177.0,77.0,1.0
1,3.0,26.0,118.5,1.78,73.0,350.0,411.0,1.0,262.0,248.0,473.0,1.873e+03,985.0,67.0,46.0,52.0,1.0
1,8.0,28.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,32.0,107.7,5.0,1.0
1,9.0,23.0,118.5,1.76,72.0,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,186.0,212.0,5.0,1.0
1,10.0,25.0,118.5,1.88,77.5,78.0,301.0,20.0,8.0,226.0,845.0,1.289e+03,985.0,287.0,19.0,65.0,1.0
1,11.0,28.0,118.5,1.77,65.0,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,102.25,107.7,111.94,1.0
1,12.0,25.0,118.5,1.83,72.0,65.0,76.0,8.0,121.0,101.0,855.0,1.134e+03,985.0,131.0,53.0,5.0,1.0
1,13.0,22.0,118.5,1.88,76.0,105.0,9.0,0.0,330.0,0.0,2.072e+03,1.919e+03,985.0,102.25,0.0,111.94,1.0
1,14.0,25.0,118.5,1.73,65.0,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,28.0,5.0,0.0,1.0
1,15.0,34.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,125.0,11.0,254.0,1.0
1,4.0,24.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,89.0,4.0,50.0,1.0
1,16.0,22.0,118.5,1.75,69.0,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,46.0,5.0,111.94,1.0
1,17.0,29.0,118.5,1.88,73.0,1.937e+03,1.108e+03,163.0,1.922e+03,526.0,670.0,1.558e+03,962.0,218.0,126.0,85.0,1.0
1,18.0,25.0,118.5,1.78,66.0,245.0,1.574e+03,413.0,136.0,1.458e+03,250.0,338.0,1.17e+03,18.0,7.0,111.94,1.0
1,19.0,33.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,10.0,10.0,37.0,1.0
1,20.0,24.0,118.5,1.84,78.0,792.0,236.0,2.0,1.208e+03,118.0,178.0,201.0,1.947e+03,52.0,27.0,20.0,1.0
1,21.0,26.0,118.5,1.84,78.0,734.0,243.0,30.0,1.622e+03,34.0,900.0,1.183e+03,985.0,2.092e+03,1.324e+03,1.279e+03,1.0
1,22.0,25.0,118.5,1.8,75.0,2.7e+03,1.056e+03,1.719e+03,2e+03,374.0,62.0,45.0,470.0,8.0,107.7,111.94,1.0
1,23.0,31.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,15.0,42.0,60.0,1.0
1,24.0,21.0,118.5,1.78,70.0,563.0,374.0,62.0,582.0,148.0,520.0,861.0,985.0,0.0,107.7,111.94,1.0
1,25.0,32.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,2.0,203.0,50.0,1.0
1,26.0,31.0,118.5,1.91,74.0,3.844e+03,532.0,234.0,6.37e+03,530.0,25.0,21.0,275.0,15.0,65.0,40.0,1.0
1,5.0,27.0,118.5,1.78,71.0,410.0,41.0,26.0,900.0,17.0,198.0,256.0,985.0,175.0,50.0,67.0,1.0
1,27.0,29.0,118.5,1.79,64.0,1.156e+03,423.0,142.0,774.0,54.0,748.0,1.785e+03,985.0,17.0,36.0,37.0,1.0
1,28.0,28.0,118.5,1.8,70.0,486.0,61.0,36.0,724.0,72.0,332.0,262.0,985.0,0.0,15.0,20.0,1.0
1,29.0,30.0,118.5,1.89,70.0,146.0,435.0,361.0,105.0,694.0,571.0,853.0,985.0,304.0,212.0,72.0,1.0
1,30.0,24.0,118.5,1.8,68.0,525.0,912.0,57.0,252.0,1.504e+03,105.0,152.0,1.903e+03,88.0,22.0,85.0,1.0
1,31.0,27.0,118.5,1.75,63.0,57.0,179.0,186.0,50.0,76.0,251.0,273.0,985.0,581.0,280.0,382.0,1.0
1,32.0,37.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,35.0,20.0,26.0,1.0
0,33.0,33.0,118.5,1.86,73.0,1.073e+03,836.0,91.0,348.0,888.0,246.0,197.0,985.0,266.0,101.0,0.0,1.0
0,34.0,31.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,0.0,0.0,5.0,1.0
0,35.0,30.0,118.5,1.83,71.0,80.0,635.0,3.39e+03,216.0,90.0,899.0,966.0,1.353e+03,141.0,497.0,351.0,1.0
0,36.0,32.0,118.5,1.81,73.0,3.128e+03,1.73e+03,83.0,1.216e+03,2.4e+03,85.0,71.0,942.0,15.0,18.0,54.0,1.0
0,37.0,33.0,118.5,1.806,68.6,861.5,856.0,417.5,900.0,779.0,520.0,861.0,985.0,25.0,97.0,138.0,1.0
0,38.0,29.0,118.5,1.79,69.0,686.0,514.0,5.0,730.0,192.0,253.0,232.0,985.0,336.0,50.0,362.0,1.0
0,39.0,26.0,118.5,1.82,72.0,183.0,874.0,43.0,18.0,862.0,438.0,503.0,985.0,130.0,190.0,54.0,1.0
0,40.0,31.0,118.5,1.72,62.0,377.0,54.0,30.0,430.0,232.0,199.0,230.0,985.0,238.0,350.0,129.0,1.0
